Barometer,TempIn,HumIn,TempOut,WindSpeed,HumOut,RainRate,Datetime,station_id
30.062,60.0,54.0,53.0,2.0,76.0,0.09,2025-01-18 19:13:48+00:00,3
30.062,60.0,54.0,53.0,5.0,76.0,0.09,2025-01-18 19:13:59+00:00,3
30.062,60.0,54.0,53.0,12.0,76.0,0.45,2025-01-18 19:14:10+00:00,3
30.062,60.0,54.0,52.9,12.0,76.0,0.45,2025-01-18 19:14:21+00:00,3
30.062,60.0,54.0,52.9,3.0,76.0,0.45,2025-01-18 19:14:33+00:00,3
30.06,59.9,54.0,52.9,5.0,77.0,0.45,2025-01-18 19:14:44+00:00,3
30.06,59.9,54.0,52.9,4.0,77.0,0.45,2025-01-18 19:14:55+00:00,3
30.06,59.9,54.0,52.9,9.0,77.0,0.45,2025-01-18 19:15:06+00:00,3
30.06,59.9,54.0,52.8,11.0,77.0,0.45,2025-01-18 19:15:17+00:00,3
30.06,59.9,54.0,52.8,10.0,77.0,0.45,2025-01-18 19:15:28+00:00,3
30.056,59.9,55.0,52.8,11.0,77.0,0.45,2025-01-18 19:15:39+00:00,3
30.056,59.9,55.0,52.8,14.0,77.0,0.38,2025-01-18 19:15:50+00:00,3
30.056,59.9,55.0,52.8,13.0,77.0,0.34,2025-01-18 19:16:01+00:00,3
30.056,59.9,55.0,52.8,13.0,77.0,0.31,2025-01-18 19:16:12+00:00,3
30.056,59.9,55.0,52.8,8.0,78.0,0.28,2025-01-18 19:16:23+00:00,3
30.056,59.9,55.0,52.8,4.0,78.0,0.26,2025-01-18 19:16:34+00:00,3
30.056,59.9,55.0,52.9,13.0,78.0,0.26,2025-01-18 19:16:46+00:00,3
30.056,59.9,55.0,52.8,10.0,78.0,0.23,2025-01-18 19:16:57+00:00,3
30.056,59.9,55.0,52.8,6.0,78.0,0.21,2025-01-18 19:17:08+00:00,3
30.056,59.9,55.0,52.8,8.0,79.0,0.19,2025-01-18 19:17:19+00:00,3
30.056,59.9,55.0,52.8,12.0,79.0,0.19,2025-01-18 19:17:30+00:00,3
30.053,59.8,55.0,52.8,4.0,79.0,0.17,2025-01-18 19:17:41+00:00,3
30.053,59.8,55.0,52.8,8.0,79.0,0.16,2025-01-18 19:17:52+00:00,3
30.053,59.8,55.0,52.7,8.0,79.0,0.16,2025-01-18 19:18:03+00:00,3
30.053,59.8,55.0,52.7,9.0,79.0,0.15,2025-01-18 19:18:14+00:00,3
30.053,59.8,55.0,52.7,4.0,79.0,0.14,2025-01-18 19:18:25+00:00,3
30.044,59.9,55.0,52.7,15.0,79.0,0.14,2025-01-18 19:18:36+00:00,3
30.044,59.9,55.0,52.7,8.0,79.0,0.13,2025-01-18 19:18:47+00:00,3
30.044,59.9,55.0,52.7,13.0,79.0,0.13,2025-01-18 19:18:58+00:00,3
30.044,59.9,55.0,52.6,2.0,79.0,0.13,2025-01-18 19:19:10+00:00,3
30.044,59.9,55.0,52.7,14.0,79.0,0.12,2025-01-18 19:19:21+00:00,3
30.044,59.9,55.0,52.7,11.0,79.0,0.11,2025-01-18 19:19:32+00:00,3
30.042,59.8,55.0,52.7,11.0,79.0,0.11,2025-01-18 19:19:43+00:00,3
30.042,59.8,55.0,52.6,9.0,80.0,0.11,2025-01-18 19:19:54+00:00,3
30.042,59.8,55.0,52.6,10.0,80.0,0.11,2025-01-18 19:20:05+00:00,3
30.042,59.8,55.0,52.6,13.0,80.0,0.1,2025-01-18 19:20:16+00:00,3
30.042,59.8,55.0,52.6,8.0,80.0,0.1,2025-01-18 19:20:27+00:00,3
30.04,59.8,55.0,52.6,10.0,80.0,0.09,2025-01-18 19:20:38+00:00,3
30.04,59.8,55.0,52.6,6.0,81.0,0.09,2025-01-18 19:20:49+00:00,3
30.04,59.8,55.0,52.6,10.0,81.0,0.09,2025-01-18 19:21:01+00:00,3
30.04,59.8,55.0,52.6,13.0,81.0,0.09,2025-01-18 19:21:12+00:00,3
30.04,59.8,55.0,52.5,11.0,81.0,0.08,2025-01-18 19:21:23+00:00,3
30.041,59.8,55.0,52.5,8.0,81.0,0.08,2025-01-18 19:21:34+00:00,3
30.041,59.8,55.0,52.5,12.0,81.0,0.08,2025-01-18 19:21:45+00:00,3
30.041,59.8,55.0,52.5,12.0,81.0,0.08,2025-01-18 19:21:56+00:00,3
30.041,59.8,55.0,52.4,8.0,81.0,0.08,2025-01-18 19:22:07+00:00,3
30.041,59.8,55.0,52.4,6.0,81.0,0.07,2025-01-18 19:22:18+00:00,3
30.041,59.8,55.0,52.4,9.0,81.0,0.07,2025-01-18 19:22:29+00:00,3
30.036,59.7,55.0,52.4,4.0,81.0,0.07,2025-01-18 19:22:40+00:00,3
30.036,59.7,55.0,52.4,16.0,81.0,0.07,2025-01-18 19:22:51+00:00,3
30.036,59.7,55.0,52.4,10.0,81.0,0.07,2025-01-18 19:23:02+00:00,3
30.036,59.7,55.0,52.4,13.0,81.0,0.07,2025-01-18 19:23:13+00:00,3
30.036,59.7,55.0,52.3,11.0,81.0,0.07,2025-01-18 19:23:24+00:00,3
30.039,59.7,56.0,52.3,9.0,81.0,0.07,2025-01-18 19:23:35+00:00,3
30.039,59.7,56.0,52.3,8.0,81.0,0.06,2025-01-18 19:23:46+00:00,3
30.039,59.7,56.0,52.3,15.0,81.0,0.06,2025-01-18 19:23:58+00:00,3
30.039,59.7,56.0,52.3,12.0,81.0,0.06,2025-01-18 19:24:09+00:00,3
30.039,59.7,56.0,52.3,8.0,82.0,0.06,2025-01-18 19:24:20+00:00,3
30.039,59.7,56.0,52.3,5.0,82.0,0.06,2025-01-18 19:24:31+00:00,3
30.041,59.7,56.0,52.3,7.0,82.0,0.06,2025-01-18 19:24:42+00:00,3
30.041,59.7,56.0,52.3,10.0,82.0,0.06,2025-01-18 19:24:53+00:00,3
30.041,59.7,56.0,52.3,6.0,82.0,0.06,2025-01-18 19:25:04+00:00,3
30.041,59.7,56.0,52.3,6.0,82.0,0.05,2025-01-18 19:25:15+00:00,3
30.041,59.7,56.0,52.3,12.0,82.0,0.05,2025-01-18 19:25:26+00:00,3
30.042,59.6,56.0,52.3,11.0,82.0,0.05,2025-01-18 19:25:37+00:00,3
30.042,59.6,56.0,52.3,9.0,82.0,0.05,2025-01-18 19:25:48+00:00,3
30.042,59.6,56.0,52.3,4.0,81.0,0.05,2025-01-18 19:25:59+00:00,3
30.042,59.6,56.0,52.4,4.0,81.0,0.05,2025-01-18 19:26:10+00:00,3
30.042,59.6,56.0,52.3,12.0,81.0,0.05,2025-01-18 19:26:22+00:00,3
30.042,59.6,56.0,52.4,11.0,81.0,0.05,2025-01-18 19:26:33+00:00,3
30.044,59.6,56.0,52.4,5.0,81.0,0.05,2025-01-18 19:26:44+00:00,3
30.044,59.6,56.0,52.4,11.0,81.0,0.05,2025-01-18 19:26:55+00:00,3
30.044,59.6,56.0,52.4,12.0,81.0,0.05,2025-01-18 19:27:06+00:00,3
30.044,59.6,56.0,52.4,9.0,81.0,0.05,2025-01-18 19:27:17+00:00,3
30.044,59.6,56.0,52.4,5.0,81.0,0.05,2025-01-18 19:27:28+00:00,3
30.044,59.5,56.0,52.4,10.0,81.0,0.04,2025-01-18 19:27:39+00:00,3
30.044,59.5,56.0,52.5,4.0,81.0,0.04,2025-01-18 19:27:50+00:00,3
30.044,59.5,56.0,52.5,9.0,81.0,0.04,2025-01-18 19:28:01+00:00,3
30.044,59.5,56.0,52.5,4.0,81.0,0.04,2025-01-18 19:28:12+00:00,3
30.044,59.5,56.0,52.5,5.0,81.0,0.04,2025-01-18 19:28:23+00:00,3
30.041,59.5,56.0,52.5,9.0,81.0,0.04,2025-01-18 19:28:34+00:00,3
30.041,59.5,56.0,52.5,8.0,81.0,0.04,2025-01-18 19:28:45+00:00,3
30.041,59.5,56.0,52.5,11.0,81.0,0.04,2025-01-18 19:28:56+00:00,3
30.041,59.5,56.0,52.5,11.0,81.0,0.04,2025-01-18 19:29:07+00:00,3
30.041,59.5,56.0,52.5,7.0,81.0,0.04,2025-01-18 19:29:18+00:00,3
30.041,59.5,56.0,52.5,7.0,81.0,0.04,2025-01-18 19:29:29+00:00,3
30.043,59.4,57.0,52.5,9.0,81.0,0.04,2025-01-18 19:29:41+00:00,3
30.043,59.4,57.0,52.5,6.0,81.0,0.04,2025-01-18 19:29:52+00:00,3
30.043,59.4,57.0,52.5,10.0,81.0,0.04,2025-01-18 19:30:03+00:00,3
30.043,59.4,57.0,52.5,4.0,81.0,0.04,2025-01-18 19:30:14+00:00,3
30.043,59.4,57.0,52.5,5.0,81.0,0.04,2025-01-18 19:30:25+00:00,3
30.041,59.4,57.0,52.5,4.0,81.0,0.04,2025-01-18 19:30:36+00:00,3
30.041,59.4,57.0,52.5,8.0,81.0,0.04,2025-01-18 19:30:47+00:00,3
30.041,59.4,57.0,52.5,3.0,81.0,0.04,2025-01-18 19:30:58+00:00,3
30.041,59.4,57.0,52.5,9.0,81.0,0.04,2025-01-18 19:31:09+00:00,3
30.041,59.4,57.0,52.5,4.0,81.0,0.0,2025-01-18 19:31:20+00:00,3
30.041,59.4,57.0,52.5,4.0,81.0,0.0,2025-01-18 19:31:31+00:00,3
30.047,59.4,57.0,52.5,10.0,81.0,0.0,2025-01-18 19:31:42+00:00,3
30.047,59.4,57.0,52.5,10.0,81.0,0.0,2025-01-18 19:31:53+00:00,3
30.047,59.4,57.0,52.5,3.0,81.0,0.0,2025-01-18 19:32:05+00:00,3
30.047,59.4,57.0,52.5,4.0,81.0,0.0,2025-01-18 19:32:16+00:00,3
30.047,59.4,57.0,52.5,7.0,81.0,0.0,2025-01-18 19:32:27+00:00,3
30.046,59.3,57.0,52.5,3.0,81.0,0.0,2025-01-18 19:32:38+00:00,3
30.046,59.3,57.0,52.5,5.0,81.0,0.0,2025-01-18 19:32:49+00:00,3
30.046,59.3,57.0,52.5,4.0,81.0,0.0,2025-01-18 19:33:00+00:00,3
30.046,59.3,57.0,52.4,4.0,81.0,0.0,2025-01-18 19:33:11+00:00,3
30.046,59.3,57.0,52.4,2.0,81.0,0.0,2025-01-18 19:33:22+00:00,3
30.046,59.3,57.0,52.4,5.0,81.0,0.0,2025-01-18 19:33:33+00:00,3
30.045,59.3,57.0,52.4,11.0,81.0,0.0,2025-01-18 19:33:44+00:00,3
30.045,59.3,57.0,52.4,9.0,81.0,0.0,2025-01-18 19:33:55+00:00,3
30.045,59.3,57.0,52.4,3.0,81.0,0.0,2025-01-18 19:34:06+00:00,3
30.045,59.3,57.0,52.4,5.0,81.0,0.0,2025-01-18 19:34:17+00:00,3
30.045,59.3,57.0,52.4,4.0,81.0,0.0,2025-01-18 19:34:28+00:00,3
30.048,59.3,57.0,52.4,3.0,81.0,0.0,2025-01-18 19:34:39+00:00,3
30.048,59.3,57.0,52.4,4.0,81.0,0.0,2025-01-18 19:34:50+00:00,3
30.048,59.3,57.0,52.4,4.0,81.0,0.0,2025-01-18 19:35:01+00:00,3
30.048,59.3,57.0,52.4,8.0,81.0,0.0,2025-01-18 19:35:13+00:00,3
30.048,59.3,57.0,52.4,4.0,81.0,0.0,2025-01-18 19:35:24+00:00,3
30.048,59.3,57.0,52.4,5.0,81.0,0.0,2025-01-18 19:35:35+00:00,3
30.048,59.3,57.0,52.4,4.0,81.0,0.0,2025-01-18 19:35:46+00:00,3
30.048,59.3,57.0,52.4,3.0,81.0,0.0,2025-01-18 19:35:57+00:00,3
30.048,59.3,57.0,52.4,6.0,81.0,0.0,2025-01-18 19:36:08+00:00,3
30.048,59.3,57.0,52.4,4.0,81.0,0.0,2025-01-18 19:36:19+00:00,3
30.048,59.3,57.0,52.4,6.0,81.0,0.0,2025-01-18 19:36:30+00:00,3
30.047,59.3,57.0,52.4,5.0,81.0,0.0,2025-01-18 19:36:41+00:00,3
30.047,59.3,57.0,52.3,5.0,81.0,0.0,2025-01-18 19:36:52+00:00,3
30.047,59.3,57.0,52.3,6.0,81.0,0.0,2025-01-18 19:37:03+00:00,3
30.047,59.3,57.0,52.3,2.0,81.0,0.0,2025-01-18 19:37:14+00:00,3
30.047,59.3,57.0,52.3,5.0,81.0,0.0,2025-01-18 19:37:25+00:00,3
30.047,59.3,57.0,52.3,2.0,81.0,0.0,2025-01-18 19:37:36+00:00,3
30.047,59.3,57.0,52.3,4.0,81.0,0.0,2025-01-18 19:37:47+00:00,3
30.047,59.3,57.0,52.3,1.0,81.0,0.0,2025-01-18 19:37:58+00:00,3
30.047,59.3,57.0,52.3,3.0,81.0,0.0,2025-01-18 19:38:09+00:00,3
30.047,59.3,57.0,52.3,3.0,81.0,0.0,2025-01-18 19:38:20+00:00,3
30.047,59.3,57.0,52.3,8.0,81.0,0.0,2025-01-18 19:38:32+00:00,3
30.044,59.3,57.0,52.3,4.0,81.0,0.0,2025-01-18 19:38:43+00:00,3
30.044,59.3,57.0,52.2,4.0,81.0,0.0,2025-01-18 19:38:54+00:00,3
30.044,59.3,57.0,52.2,2.0,81.0,0.0,2025-01-18 19:39:05+00:00,3
30.044,59.3,57.0,52.3,4.0,81.0,0.0,2025-01-18 19:39:16+00:00,3
30.044,59.3,57.0,52.2,4.0,81.0,0.0,2025-01-18 19:39:27+00:00,3
30.043,59.2,57.0,52.2,9.0,81.0,0.0,2025-01-18 19:39:38+00:00,3
30.043,59.2,57.0,52.2,5.0,81.0,0.0,2025-01-18 19:39:49+00:00,3
30.043,59.2,57.0,52.2,2.0,81.0,0.0,2025-01-18 19:40:00+00:00,3
30.043,59.2,57.0,52.2,3.0,81.0,0.0,2025-01-18 19:40:11+00:00,3
30.043,59.2,57.0,52.1,6.0,81.0,0.0,2025-01-18 19:40:22+00:00,3
30.043,59.2,57.0,52.1,9.0,81.0,0.0,2025-01-18 19:40:34+00:00,3
30.046,59.2,57.0,52.2,6.0,81.0,0.0,2025-01-18 19:40:45+00:00,3
30.046,59.2,57.0,52.1,11.0,81.0,0.0,2025-01-18 19:40:56+00:00,3
30.046,59.2,57.0,52.1,5.0,81.0,0.0,2025-01-18 19:41:07+00:00,3
30.046,59.2,57.0,52.1,5.0,81.0,0.0,2025-01-18 19:41:18+00:00,3
30.046,59.2,57.0,52.1,6.0,81.0,0.0,2025-01-18 19:41:29+00:00,3
30.043,59.2,57.0,52.2,3.0,81.0,0.0,2025-01-18 19:41:40+00:00,3
30.043,59.2,57.0,52.2,4.0,80.0,0.0,2025-01-18 19:41:51+00:00,3
30.043,59.2,57.0,52.2,10.0,80.0,0.0,2025-01-18 19:42:02+00:00,3
30.043,59.2,57.0,52.1,5.0,80.0,0.0,2025-01-18 19:42:13+00:00,3
30.043,59.2,57.0,52.2,6.0,80.0,0.0,2025-01-18 19:42:24+00:00,3
30.047,59.2,57.0,52.2,4.0,80.0,0.0,2025-01-18 19:42:35+00:00,3
30.047,59.2,57.0,52.2,4.0,80.0,0.0,2025-01-18 19:42:46+00:00,3
30.047,59.2,57.0,52.1,4.0,80.0,0.0,2025-01-18 19:42:57+00:00,3
30.047,59.2,57.0,52.1,3.0,80.0,0.0,2025-01-18 19:43:08+00:00,3
30.047,59.2,57.0,52.2,2.0,80.0,0.0,2025-01-18 19:43:19+00:00,3
30.047,59.2,57.0,52.2,8.0,80.0,0.0,2025-01-18 19:43:30+00:00,3
30.046,59.2,57.0,52.2,10.0,80.0,0.0,2025-01-18 19:43:41+00:00,3
30.046,59.2,57.0,52.1,4.0,80.0,0.0,2025-01-18 19:43:53+00:00,3
30.046,59.2,57.0,52.2,6.0,80.0,0.0,2025-01-18 19:44:04+00:00,3
30.046,59.2,57.0,52.2,8.0,80.0,0.0,2025-01-18 19:44:15+00:00,3
30.046,59.2,57.0,52.2,6.0,80.0,0.0,2025-01-18 19:44:26+00:00,3
30.046,59.2,57.0,52.2,9.0,80.0,0.0,2025-01-18 19:44:37+00:00,3
30.046,59.2,57.0,52.2,6.0,80.0,0.0,2025-01-18 19:44:48+00:00,3
30.046,59.2,57.0,52.2,6.0,80.0,0.0,2025-01-18 19:44:59+00:00,3
30.046,59.2,57.0,52.2,9.0,80.0,0.0,2025-01-18 19:45:10+00:00,3
30.046,59.2,57.0,52.2,6.0,80.0,0.0,2025-01-18 19:45:21+00:00,3
30.046,59.2,57.0,52.1,5.0,80.0,0.0,2025-01-18 19:45:32+00:00,3
30.046,59.1,57.0,52.2,5.0,80.0,0.0,2025-01-18 19:45:43+00:00,3
30.046,59.1,57.0,52.2,3.0,80.0,0.0,2025-01-18 19:45:54+00:00,3
30.046,59.1,57.0,52.2,6.0,80.0,0.0,2025-01-18 19:46:05+00:00,3
30.046,59.1,57.0,52.2,2.0,80.0,0.0,2025-01-18 19:46:16+00:00,3
30.046,59.1,57.0,52.2,3.0,80.0,0.0,2025-01-18 19:46:27+00:00,3
30.047,59.1,57.0,52.2,3.0,80.0,0.0,2025-01-18 19:46:38+00:00,3
30.047,59.1,57.0,52.2,6.0,80.0,0.0,2025-01-18 19:46:49+00:00,3
30.047,59.1,57.0,52.2,5.0,80.0,0.0,2025-01-18 19:47:00+00:00,3
30.047,59.1,57.0,52.2,9.0,80.0,0.0,2025-01-18 19:47:12+00:00,3
30.047,59.1,57.0,52.2,4.0,80.0,0.0,2025-01-18 19:47:23+00:00,3
30.047,59.1,57.0,52.3,4.0,80.0,0.0,2025-01-18 19:47:34+00:00,3
30.045,59.1,57.0,52.3,4.0,80.0,0.0,2025-01-18 19:47:45+00:00,3
30.045,59.1,57.0,52.3,5.0,80.0,0.0,2025-01-18 19:47:56+00:00,3
30.045,59.1,57.0,52.3,4.0,80.0,0.0,2025-01-18 19:48:07+00:00,3
30.045,59.1,57.0,52.3,5.0,80.0,0.0,2025-01-18 19:48:18+00:00,3
30.045,59.1,57.0,52.3,5.0,80.0,0.0,2025-01-18 19:48:29+00:00,3
30.046,59.1,57.0,52.3,8.0,80.0,0.0,2025-01-18 19:48:40+00:00,3
30.046,59.1,57.0,52.3,7.0,79.0,0.0,2025-01-18 19:48:51+00:00,3
30.046,59.1,57.0,52.3,8.0,79.0,0.0,2025-01-18 19:49:02+00:00,3
30.046,59.1,57.0,52.3,9.0,79.0,0.0,2025-01-18 19:49:13+00:00,3
30.046,59.1,57.0,52.4,8.0,79.0,0.0,2025-01-18 19:49:24+00:00,3
30.045,59.2,57.0,52.4,7.0,79.0,0.0,2025-01-18 19:49:35+00:00,3
30.045,59.2,57.0,52.3,5.0,79.0,0.0,2025-01-18 19:49:46+00:00,3
30.045,59.2,57.0,52.3,4.0,79.0,0.0,2025-01-18 19:49:57+00:00,3
30.079,61.8,55.0,52.8,4.0,82.0,0.85,2025-01-20 01:28:19+00:00,3
30.079,61.8,55.0,52.9,4.0,82.0,0.85,2025-01-20 01:28:30+00:00,3
30.081,61.8,55.0,52.9,4.0,82.0,0.85,2025-01-20 01:28:41+00:00,3
30.081,61.8,55.0,52.8,3.0,82.0,0.85,2025-01-20 01:28:52+00:00,3
30.081,61.8,55.0,52.9,5.0,82.0,0.77,2025-01-20 01:29:03+00:00,3
30.081,61.8,55.0,52.8,6.0,82.0,0.77,2025-01-20 01:29:14+00:00,3
30.081,61.8,55.0,52.8,4.0,82.0,0.77,2025-01-20 01:29:25+00:00,3
30.079,61.8,55.0,52.8,4.0,82.0,0.77,2025-01-20 01:29:36+00:00,3
30.079,61.8,55.0,52.8,7.0,82.0,0.77,2025-01-20 01:29:47+00:00,3
30.079,61.8,55.0,52.8,7.0,82.0,0.63,2025-01-20 01:29:58+00:00,3
30.079,61.8,55.0,52.8,7.0,82.0,0.63,2025-01-20 01:30:09+00:00,3
30.079,61.8,55.0,52.8,7.0,82.0,0.63,2025-01-20 01:30:20+00:00,3
30.079,61.7,55.0,52.8,6.0,82.0,0.63,2025-01-20 01:30:32+00:00,3
30.077,61.7,55.0,52.8,5.0,82.0,0.63,2025-01-20 01:30:43+00:00,3
30.077,61.7,55.0,52.8,2.0,82.0,0.63,2025-01-20 01:30:54+00:00,3
30.077,61.7,55.0,52.8,4.0,82.0,0.63,2025-01-20 01:31:05+00:00,3
30.077,61.7,55.0,52.8,3.0,82.0,0.55,2025-01-20 01:31:16+00:00,3
30.077,61.7,55.0,52.7,3.0,82.0,0.55,2025-01-20 01:31:27+00:00,3
30.077,61.7,55.0,52.7,4.0,82.0,0.55,2025-01-20 01:31:38+00:00,3
30.077,61.7,55.0,52.7,4.0,82.0,0.55,2025-01-20 01:31:49+00:00,3
30.077,61.7,55.0,52.7,6.0,82.0,0.55,2025-01-20 01:32:00+00:00,3
30.077,61.7,55.0,52.7,4.0,82.0,0.55,2025-01-20 01:32:11+00:00,3
30.077,61.7,55.0,52.7,5.0,82.0,0.55,2025-01-20 01:32:22+00:00,3
30.077,61.7,55.0,52.7,4.0,82.0,0.4,2025-01-20 01:32:33+00:00,3
30.077,61.7,55.0,52.7,3.0,82.0,0.3,2025-01-20 01:32:58+00:00,3
30.077,61.7,55.0,52.7,4.0,82.0,0.29,2025-01-20 01:33:09+00:00,3
30.077,61.7,55.0,52.7,4.0,82.0,0.29,2025-01-20 01:33:20+00:00,3
30.077,61.7,55.0,52.7,4.0,82.0,0.29,2025-01-20 01:33:31+00:00,3
30.076,61.7,55.0,52.6,1.0,82.0,0.29,2025-01-20 01:33:42+00:00,3
30.076,61.7,55.0,52.7,3.0,82.0,0.29,2025-01-20 01:33:53+00:00,3
30.076,61.7,55.0,52.6,4.0,82.0,0.29,2025-01-20 01:34:04+00:00,3
30.076,61.7,55.0,52.6,3.0,82.0,0.29,2025-01-20 01:34:15+00:00,3
30.076,61.7,55.0,52.6,2.0,82.0,0.29,2025-01-20 01:34:27+00:00,3
30.077,61.7,55.0,52.6,2.0,82.0,0.29,2025-01-20 01:34:38+00:00,3
30.077,61.7,55.0,52.6,3.0,82.0,0.29,2025-01-20 01:34:49+00:00,3
30.077,61.7,55.0,52.6,5.0,82.0,0.29,2025-01-20 01:35:00+00:00,3
30.077,61.7,55.0,52.6,3.0,82.0,0.29,2025-01-20 01:35:11+00:00,3
30.077,61.7,55.0,52.6,6.0,82.0,0.25,2025-01-20 01:35:22+00:00,3
30.075,61.7,55.0,52.6,2.0,82.0,0.24,2025-01-20 01:35:33+00:00,3
30.075,61.7,55.0,52.6,3.0,82.0,0.24,2025-01-20 01:35:44+00:00,3
30.075,61.7,55.0,52.5,3.0,82.0,0.24,2025-01-20 01:35:55+00:00,3
30.075,61.7,55.0,52.6,3.0,82.0,0.19,2025-01-20 01:36:06+00:00,3
30.075,61.7,55.0,52.5,6.0,82.0,0.18,2025-01-20 01:36:17+00:00,3
30.075,61.7,55.0,52.5,2.0,82.0,0.18,2025-01-20 01:36:28+00:00,3
30.074,61.6,55.0,52.5,2.0,82.0,0.18,2025-01-20 01:36:39+00:00,3
30.074,61.6,55.0,52.5,2.0,82.0,0.18,2025-01-20 01:36:50+00:00,3
30.074,61.6,55.0,52.5,1.0,82.0,0.18,2025-01-20 01:37:01+00:00,3
30.074,61.6,55.0,52.5,2.0,82.0,0.18,2025-01-20 01:37:13+00:00,3
30.074,61.6,55.0,52.5,4.0,82.0,0.18,2025-01-20 01:37:24+00:00,3
30.078,61.6,55.0,52.5,3.0,82.0,0.18,2025-01-20 01:37:35+00:00,3
30.078,61.6,55.0,52.5,2.0,82.0,0.18,2025-01-20 01:37:46+00:00,3
30.078,61.6,55.0,52.5,2.0,82.0,0.18,2025-01-20 01:37:57+00:00,3
30.078,61.6,55.0,52.5,3.0,82.0,0.18,2025-01-20 01:38:08+00:00,3
30.078,61.6,55.0,52.5,4.0,82.0,0.18,2025-01-20 01:38:19+00:00,3
30.078,61.6,55.0,52.5,5.0,82.0,0.18,2025-01-20 01:38:30+00:00,3
30.077,61.5,55.0,52.5,4.0,82.0,0.18,2025-01-20 01:38:41+00:00,3
30.077,61.5,55.0,52.5,3.0,82.0,0.18,2025-01-20 01:38:52+00:00,3
30.077,61.5,55.0,52.5,4.0,82.0,0.18,2025-01-20 01:39:03+00:00,3
30.077,61.5,55.0,52.5,5.0,82.0,0.22,2025-01-20 01:39:14+00:00,3
